,lon,lat
GLADSTONE -  MO,-94.554677,39.2038918
PEARL RIVER -  NY,-74.0218063,41.0589855
TIGARD -  OR,-122.7714861,45.4312294
RANCHO CUCAMONGA -  CA,-117.5931084,34.1063989
MARIETTA -  GA,-84.5499327,33.952602
WESTMINSTER -  MD,-76.9958149,39.5753791
ANAHEIM -  CA,-117.9145036,33.8352932
SIOUX FALLS -  SD,-96.7311034,43.5445959
LAKE FOREST -  IL,-87.840625,42.2586342
KENT -  OH,-81.3578859,41.1536674
DEERFIELD BEACH -  FL,-80.0997657,26.3184123
WEST SACRAMENTO -  CA,-121.530234,38.5804609
MANITOWOC -  WI,-87.657584,44.0886059
MEDFORD -  OR,-122.8755949,42.3265152
SOLANA BEACH -  CA,-117.2711481,32.991155
OVERLAND PARK -  KS,-94.6707917,38.9822282
IXONIA -  WI,-88.597323,43.1438923
GRAPEVINE -  TX,-97.0780654,32.9342919
DEFIANCE -  OH,-84.3557802,41.2844933
WATSONVILLE -  CA,-121.7568946,36.910231
ROYAL PALM BEACH -  FL,-80.2306019,26.7083984
SANTA CLARITA -  CA,-118.542586,34.3916641
WAUKEE -  IA,-93.8855768,41.6119903
LAGUNA NIGUEL -  CA,-117.7075526,33.5225261
MOUNT PLEASANT -  SC,-79.8284258,32.8323225
DALLAS -  TX,-96.8004511,32.7801399
AVON -  MA,-71.0411582,42.1306554
OLATHE -  KS,-94.8191285,38.8813958
NORCROSS -  GA,-84.2135309,33.9412127
MINNEAPOLIS -  MN,-93.26667,44.983334
REDDING -  CA,-122.3916754,40.5865396
BURLINGTON -  ON,-79.7990319,43.3255196
MANSFIELD -  TX,-97.1416768,32.5631924
BEDFORD -  TX,-97.1430671,32.844017
BUFFALO GROVE -  IL,-87.9631308,42.1662831
COOS BAY -  OR,-124.2178903,43.3665007
LASALLE -  QC,-73.6348015,45.4306269
KNOXVILLE -  TN,-83.9207392,35.9606384
ORMOND BEACH -  FL,-81.0558894,29.2858129
LAKEWOOD -  OH,-81.7981908,41.4819932
AURORA -  CO,-104.8319195,39.7294319
LANCASTER -  PA,-76.3055144,40.0378755
CRETE -  IL,-87.6314312,41.4444791
CONCORD -  NC,-80.579511,35.4087517
STONEHAM -  MA,-71.0999719,42.4802469
MARQUETTE -  MI,-87.3955954,46.5475825
ROUND ROCK -  TX,-97.678896,30.5082551
LAKE OSWEGO -  OR,-122.6706498,45.4206749
NEW YORK -  NY,-74.0059413,40.7127837
BRIDGEWATER -  MA,-70.9750541,41.9903519
MULLICA HILL -  NJ,-75.2240718,39.7392804
CALGARY -  AB,-114.0581012,51.0453246
CHARLOTTE -  NC,-80.8431267,35.2270869
MENOMONEE FALLS -  WI,-88.1173132,43.1788967
COLUMBUS -  OH,-82.9987942,39.9611755
STREATOR -  IL,-88.835352,41.1208668
BALTIMORE -  MD,-76.6121893,39.2903848
PUNTA GORDA -  FL,-82.0453664,26.9297836
MIAMI -  FL,-80.2040435,25.7890972
LAKEWOOD -  NJ,-74.2097014,40.082129
BROOKFIELD -  WI,-88.1064787,43.0605671
PITCAIRN -  PA,-79.778102,40.4031244
ROMEOVILLE -  IL,-88.0895061,41.6475306
STUTTGART -  AR,-91.5526281,34.5003748
WARWICK -  RI,-71.4161671,41.7001009
CASEYVILLE -  IL,-90.0256606,38.6367162
LIVERMORE -  CA,-121.7680088,37.6818745
